file_path,num_pages
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0118_Substituição DAE por participação em evento_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0122_Substituição da DAA por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0116_Designar o Responsavel pelo Centro de Linguas - CELIN do Campus Boituva_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0102_Reavaliação e Redução ao Valor Recuperável dos Bens Móveis do IFSP - Câmpus Boituva _BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0117_Substituição DAA por participação em evento_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0111_Substituição CSP por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0107_Comissão Festa da Primavera_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0108_Substituição CSP por motivo de licença_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0113_Conceder RT para professores_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0123_Revoga a portaria BTV.0121-2018_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0112_Substituição CLT por folga por serviço eleitoral_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0120_Comissão Verificadora de Aproveitamento de Estudos GPI_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0109_Altera membro da subcomissão 30horas_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0103_Revoga e designa servidores NAPNE_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0101_Substituição CLT por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0121_Nomeação de secretário ad hoc Concam_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0105_Alterar em partes a portaria CAAD pedagogia_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0125_Substituição da CTI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0115_Orientador de Estágio Curso GPI_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0110_Substituição CSP por motivo de licença_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0114_Comissão Eleitoral Recomposição Colegiado GPI_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0119_Substituição da CBI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0104_Alterar em partes a portaria Comissão de Formação Continuada_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0124_Substituição da CTI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/09 - Setembro/Set_Port_0106_Conceder RT para professores_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0161_Substituição da CDI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0159_Designa Comissão Cursos de Extensão janeiro-2019_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0166_Substituição da CPI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0155_Designar Comissão Eleitoral Local Conselho Superior_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0158_designa membro da subcomissão 30horas_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0157_Designa servidores para contratação redes de computadores_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0163_Substituição da CEX por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0156_Designa servidores para contratação letras_portugues_ingles_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0164_Substituição da CRA por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0160_Substituição da CAP por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0165_Substituição da DRG por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0167_Substituição da DAE por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/12 - Dezembro/Dez_Port_0162_Constitui a Comissão Local Concurso Publico do IFSP Docentes_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0150_Substituição da CGP por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0152_Substituição da CEX por motivo de participação em evento_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0148_Designa servidores para contratação interprete de libras_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0149_Comissão Eleitoral Coordenação Gestão da Produção Industrial_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0145_Retificação Reavaliação e Redução ao Valor Recuperável dos Bens Móveis do IFSP - Câmpus Boituva _BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0147_Substituição da DRG por motivo de reunião formação de professores em REDE na CAPES_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0153_Substituição da CBI por motivo de férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0154_Comissão Eleitoral Recomposição Colegiado Pedagogia_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0151_Altera membro da Comissão organizadora do Torneio E-Sports_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0146_Designar Coordenador do Curso Licenciatura em Pedagogia EPT_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/11 - Novembro/Nov_Port_0144_Comissão Processo Seletivo Pós GTI - 2018_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0014_Comissão de elaboração do curso de especialização em formação de professores em educação bilingue para surdos_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0028_Comissão de Elaboração e Implementação do PPC Gestão da Produção Industrial_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0018_Substituição CPI por motivo de Licença Paternidade_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0016_Substituição CCF por motivo de Férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0019_Revoga a portaria BTV.0129-2017_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0030_Revoga portarias BTV.0012-2018 e designa Comissão para Seleção Projetos de Ensino_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0015_Substituição DAA por motivo de Férias_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0024_Revoga portarias BTV.0020-2016 e BTV.0079-2016 e designa membros NDE_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0022_Orientação de atividades complementares TADS_BTV.pdf,1
"/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0031_Revorgar e Designar servidores para Comitê de Pesquisa, Inovação e Pós-Graduação (COMPESQ).pdf",2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0023_Orientação de estagio TADS_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0027_Designar Comissão organizadora do Torneio E-Sports_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0025_Alterar em partes a portaria Colegiado TADS_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0021_Designar servidor comissão de seleção de projetos de ensino do Campus Votuporanga_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0017_Comissão de Elaboração e Implementação do PPC Automação Integrado_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0029_Comissão de Elaboração e Implementação do PPC Análise e Desenvolvimento de Sistemas_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0020_Comissão Verificadora de Aproveitamento de Estudos_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/03 - Março/Mar_Port_0026_Designar servidor como representante da REDESFITO_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/02 - Fevereiro/Fev_Port_0007_Alterar em partes a portaria CAAD Gestão_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/02 - Fevereiro/Fev_Port_0008_Fiscal de Contrato Cantina_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2018/02 - Fevereiro/Fev_Port_0013_Substituição CRA por motivo de Férias_BTV.pdf,1
